"","S.72.sti_FPKM","S.72.1_FPKM","S.73.sti.1_FPKM","S.73.1_FPKM","S.124.sti.1_FPKM","S.124.1_FPKM","S.103.sti.1_FPKM","S.103.1_FPKM","S.102.sti.1_FPKM","S.102.1_FPKM"
"ENSG00000004142",20.6457875506592,23.1148016089538,13.0124864405737,15.8777025480442,11.900265095634,16.0995143780238,12.9864954676319,15.8639451773024,10.8241842850894,15.3336196828072
"ENSG00000004455",44.6189816275956,34.9083427496646,46.2722033364505,24.2506055202063,48.4127467174081,23.7126623381103,44.7317772935888,21.8917634964262,48.6117696511069,25.281256057967
"ENSG00000004468",9.71621376670265,18.4333979632489,10.1194521434675,22.6358299070713,12.1782531367066,24.8116428280115,9.13816104551296,20.470544704134,9.63998755102118,24.7195408224363
"ENSG00000004478",34.3287552426151,13.5720313048988,25.9524881823377,8.76508006114481,22.4396553861173,9.35266654950739,23.9308385573997,7.88340966319778,21.5642985618148,9.18026959420335
"ENSG00000004487",14.4203172569794,14.7190846953315,10.434903532013,12.3780442778567,10.9866003196713,12.7192898778356,10.4325705153507,11.1902749249912,10.4619209953915,12.7009770958887
"ENSG00000004534",8.62418974217411,25.4268035074445,12.0365355888405,21.4174241044138,14.1316492403295,23.9948014655196,12.222554484404,19.301278903678,12.3041728260746,23.6191027666962
"ENSG00000004700",19.4557613700833,49.7472168193611,17.3973114363742,38.8262119812183,17.1106114846477,38.3908165233011,17.1684856382841,30.9866925970925,17.9516438341554,36.2447073757738
"ENSG00000004777",1.10135757319972,8.38459331911818,1.95064662611331,6.2125792666111,2.10698847544113,10.9961304281042,2.16041039617004,5.22278937835081,1.77540492916702,9.51633314841722
"ENSG00000004779",29.1066403560876,28.0992793619014,20.055264746071,18.8985603150326,19.5546367465015,19.4493404041951,22.884466994053,18.7305055177433,21.1341239732024,16.7529661342394
"ENSG00000004897",7.97084203519122,24.1326227964686,7.52720814807088,18.829417608196,8.07885756884201,18.1974489158382,6.87436862352131,15.7806807405167,7.15223618681275,19.5312559350885
"ENSG00000004961",6.18346937965947,7.68051014366068,3.47696896910851,5.11976802479901,2.99490766428751,5.02239376947028,3.45637711911634,5.06529238813702,3.41616051631783,5.03884787294671
"ENSG00000004975",5.66079121407316,6.35439746294995,4.0662619784399,5.41447591031412,4.56109364723432,5.95770793010481,4.54154244894102,4.90091742649491,3.98046444162023,6.15660822838086
"ENSG00000005007",7.84950603246583,14.9400425199148,6.6161952324978,9.70009083399942,6.29404738067897,10.9160775204826,6.13217592852857,9.51387897739968,5.52540278864732,11.7052728697739
"ENSG00000005022",141.505779803822,239.389633432865,109.289711759832,191.536258654387,106.142696583408,183.646669618063,111.530841167163,177.356901340071,112.429053996686,160.993769283062
"ENSG00000005059",6.09013399294763,35.0481648695494,5.41495887141336,33.6066388730632,5.8067818891245,33.7043397889255,5.48042366050234,32.6447792782722,5.89440753410393,29.9691840929662
"ENSG00000005075",18.5410745803072,30.9882043706251,14.2075820299562,24.6849943216587,13.4083902404483,24.2909600391688,13.6245164073604,22.4661139766794,11.9335131287186,23.1995043007293
"ENSG00000005100",5.50212105666303,5.41567540249097,3.92829926458364,3.68205959074251,3.24131620378246,3.90193246507824,3.36989859140824,3.05187608095563,2.8836885400176,3.65737389350291
"ENSG00000005175",11.1349116447226,16.1780700869602,9.75207453402919,12.8928590379921,9.62346360092424,12.8543174701943,9.00062149587566,10.9285477811573,9.85368570459079,12.8491245567785
"ENSG00000005194",7.54616602565235,11.5794701226393,3.73337077323647,8.81594356449905,3.03112743316398,8.58723935772905,3.80345362333601,8.69139809932538,3.32243374175127,8.33613017228327
"ENSG00000005206",3.17340315820259,9.51015094559551,3.60142012332797,7.69699982442245,3.42677298843779,11.2478101436036,3.76437590717868,7.91492056828758,3.00619866798212,10.8286548130805
"ENSG00000005302",3.01939977012806,15.7512501573309,2.71785573304806,14.2245471742189,2.7472173357031,16.1492326513257,2.84573897660798,14.3079251486077,2.84647423353206,15.7954751367008
