"","S.72.sti_FPKM","S.73.sti.1_FPKM","S.124.sti.1_FPKM","S.103.sti.1_FPKM","S.102.sti.1_FPKM"
"ENSG00000006757",-0.167387333118253,0.132709690092644,-0.394458883739401,-0.0556004488378711,-0.381029989970757
"ENSG00000006831",-1.22668771463637,-1.17360648178495,-0.991544282570267,-0.851871539486557,-1.31276054880422
"ENSG00000007047",-1.04893158225935,-0.680339968687243,-0.520921968311216,-0.626316316757437,-1.04181099917007
"ENSG00000007080",0.384245317525066,0.48601092477122,0.357323236588084,0.713711149500171,0.10714928562324
"ENSG00000007129",-2.6619013393046,-2.23067451809355,-2.05904818055127,-1.84546144865414,-2.20462135679105
"ENSG00000007168",-1.67675432802571,-1.46281202812521,-1.45623296777868,-1.23675634669009,-1.5094690806525
"ENSG00000007202",-0.527067190616249,-0.536728121425238,-0.62398265892323,-0.572807206524843,-0.949575370859546
"ENSG00000007255",-1.33104720963382,-1.2396446785093,-1.69743711251553,-1.42225113127682,-1.46963994771072
"ENSG00000007264",-2.14664362698293,-2.17435670425285,-2.53279064440915,-2.30916505196592,-2.42439127803512
"ENSG00000007312",-0.743226138198072,-0.242625737510123,-0.0574148910229761,-0.579507407247117,0.0179508237407161
"ENSG00000007341",-1.35954884432873,-1.2259331347079,-1.41887903136068,-1.05952629385317,-1.34201784844522
"ENSG00000007376",-1.2595625202957,-2.17177666430451,-2.97437819578069,-2.94312524167506,-2.83358844855841
"ENSG00000007392",-1.16194855336602,-0.674081634540478,-0.960188080553765,-0.480799956476871,-0.784548562791758
"ENSG00000007520",-0.279596465472645,-0.489398559011924,-0.850302552359489,-0.702005442635938,-0.769703234639427
"ENSG00000007541",-1.32253983097638,-1.79400417666316,-2.36755868203583,-2.03092079464975,-2.42053990590267
"ENSG00000007545",-1.3812805678492,-0.7524618934098,-0.925497027982092,-0.71384071830759,-1.29042604465992
"ENSG00000007923",-0.541596843810054,-0.353330546026015,-0.548417797218764,-0.419359525686935,-0.788950491011561
"ENSG00000007944",-1.6006521730894,-2.03700666027812,-1.93307871297914,-1.63682130600558,-1.72866583776886
"ENSG00000007968",-1.74025211941699,-1.50982678382034,-1.44711006020687,-0.880175550137086,-1.51717665289002
"ENSG00000008018",-0.342268167131412,-0.347496451452408,-0.268511510505468,-0.177321743829089,-0.0339197590702368
"ENSG00000008083",-1.88424404938266,-1.14956763888881,-0.847449278237721,-1.14242869936268,-1.32680726505311
"ENSG00000008128",-1.67795160779105,-1.56543525449529,-1.82827672440817,-1.29037172476918,-1.80122106903993
"ENSG00000008130",-0.42520940189345,-0.520105739636085,-0.957935606012426,-0.442683245552696,-0.939756155856697
"ENSG00000008282",-1.21586659031361,-0.967525464755265,-0.954383501806993,-0.712299608628138,-0.778017758763985
"ENSG00000008283",-1.57658478519368,-3.39395861350973,-3.80201180835126,-2.69141013633109,-3.28081317814456
"ENSG00000008294",-1.47261246508698,-0.628914023711954,-0.271696881541828,-0.376721707976642,-0.452544082186468
"ENSG00000008324",-0.991886263989238,-1.33117633649975,-1.3676575504792,-1.22815652256737,-1.07215189950655
"ENSG00000008382",-0.9490647978353,-1.06137568258854,-1.16188444857978,-1.04606473666176,-1.40406176298411
"ENSG00000008405",-0.778970834453172,-1.16635590763737,-1.16695949403968,-0.956785293384651,-1.10802483917749
"ENSG00000008513",-1.97654044930896,-1.51488828300516,-1.01038835750267,-1.3943259770294,-1.54853125511069
"ENSG00000008516",-3.2880378920862,-2.04780165194046,-2.78507272988763,-2.38183574806547,-3.17103312054829
"ENSG00000008517",-1.32722977829182,-0.665496759061416,-0.883875118661039,-0.771918356736505,-1.18143074927758
"ENSG00000008710",-1.1233222516642,-0.090893804728012,-0.476140599267115,9.97672701733577e-05,-0.608139173886295
"ENSG00000008838",-0.690208198439018,-0.571920011361979,-0.600748591632858,-0.419581925062999,-0.752902448099143
"ENSG00000008853",-1.7289937972045,-2.30753809707664,-2.5914897245097,-2.31525411119787,-3.37533350286205
"ENSG00000008869",-1.73195541656059,-1.55623209242138,-1.4458166218076,-1.60111561297524,-1.61765572456427
"ENSG00000008952",-1.00680386509572,-1.28882852712842,-1.32678892412867,-1.04101264474915,-1.03815241797436
"ENSG00000008988",-0.588030363245485,-0.915590382593972,-1.04769443668003,-0.937971624059168,-0.707554775289191
"ENSG00000009307",-0.902849480134204,-0.632196767370127,-0.324100784492785,-0.540205857820059,-0.459667391072388
"ENSG00000009335",-0.907609550791035,-0.704181527297635,-0.7957979656065,-0.767490756719128,-1.12089892374748
"ENSG00000009413",-1.698202477316,-0.925314040881742,-0.94737258500106,-0.892292892050017,-1.20933401702384
"ENSG00000009694",-2.65540186351627,-2.86868510930105,-3.04975424997046,-2.71691688070097,-2.97218106698724
"ENSG00000009724",-2.77011241375713,-2.52480666712217,-2.3502265141166,-2.02175366758286,-3.02740266634574
"ENSG00000009780",-1.8741312640109,-2.09200991266175,-2.44515658931996,-1.91837508515645,-2.62841960965131
"ENSG00000009790",-1.45518855220916,-1.3595027875767,-1.55295025352418,-1.45987491381027,-1.7529354527811
"ENSG00000009844",-0.691599863214626,-0.48935801309373,-0.531840110052448,-0.287218345708833,-0.423140458903604
"ENSG00000009954",-1.04430755185142,-0.719754198754259,-0.737292286140014,-0.576562630086847,-1.01241821210286
